Date,Fox Headline,NBC Headline,Wash Post Headline,ABC Headline,,,,,,,,,,,,,,,,,,,,
2018-11-11 22:10:54.677349,New tallies ordered for Florida races won't include ballots found at postal facility: report,Macron warns against nationalism in apparent rebuke of Trump,At least 25 dead as wildfires leave trail of destruction in California,Fatal infernos: 23 dead as Northern California's Camp Fire blaze grows,,,,,,,,,,,,,,,,,,,,
2018-11-12 17:42:56.979857,"Sheriff confirms 29 dead in Northern California wildfire, more than 200 unaccounted for","Death toll climbs to 29 in California's Camp Fire, its deadliest in 85 years","Democrats signal aggressive scrutiny of Trump, resist impeachment calls","31 dead, nearly 7,000 structures burned as California blazes grow",,,,,,,,,,,,,,,,Date,Fox Headline,NBC Headline,Wash Post Headline,ABC Headline
2018-11-13 21:48:11.031267,"State calls Whitaker appointment as acting AG unlawful, asks judge to tap Rosenstein",California fire now deadliest in state history as more bodies are found,"Amazon picks Northern Va., NYC for its additional headquarters ",Death toll in California soars as officials fear more wildfires,,,,,,,,,,,,,,,,,,,,2018-11-14 17:12:55.169649,"Abrams' campaign says Kemp's lead has narrowed in Georgia, plans on favorable ruling from judge",Death toll in California wildfires rises as grim search continues,"Five days of fury: Inside Trump’s bad Paris temper, election woes and staff upheaval","California fires have caused unprecedented damage, left at least 50 dead"
2018-11-14 17:14:45.651462,"Abrams' campaign says Kemp's lead has narrowed in Georgia, plans on favorable ruling from judge",Death toll in California wildfires rises as grim search continues,"Five days of fury: Inside Trump’s bad Paris temper, election woes and staff upheaval","California fires have caused unprecedented damage, left at least 50 dead"
2018-11-15 19:47:02.212670,"Couple's GoFundMe campaign for homeless man was a conspiracy from get-go, say prosecutors","Second Trump-Kim summit to go forward without list of nuclear weapons, Pence says",Saudi Arabia seeks death penalty for five suspects in killing of Jamal Khashoggi ,"Michael Avenatti, Stormy Daniels' attorney, arrested for domestic violence: Police"
2018-11-16 13:42:45.702779,Broward County misses machine recount deadline -- by 2 minutes; Scott claims miss was intentional,631 missing in Northern California's Camp Fire as death toll climbs to 63,"WikiLeaks founder hit with U.S. charges, court filing inadvertently reveals","California wildfires have already claimed 66 lives, with another 631 still missing"
2018-11-17 17:18:49.261749,"Deadly fires have displaced tens of thousands in California, where housing was already in short supply","More than 1,000 unaccounted for in Northern California as death toll grows to 71",CIA concludes Saudi crown prince ordered Jamal Khashoggi’s assassination,US intel says Saudi prince ordered Khashoggi's killing: Official
2018-11-19 19:40:24.822862,"Trump follows bombshell Fox interview with barrage of tweets; aims at Acosta, Mueller and 'little Adam'",Republicans had a secret weapon in the Florida recount fight,"Calling it a ‘suffering tape,’ Trump says he won’t listen to audio of journalist’s killing","Relentless California wildfires leave 80 dead, almost 1,000 missing"
2018-11-22 17:38:47.886302,Christian missionary killed by tribe wrote of fears in journal before death: report,"Mattis can now order lethal force at border, MPs training with riot gear",Trump plan would force asylum seekers to wait in Mexico as cases are processed,"California wildfires death toll reaches 86, more than 500 still unaccounted for"
2018-11-25 14:24:42.620643,Incoming Mexican gov't disputes report of asylum-seeker deal; Trump tweets firm stance on border,Incoming Mexican government denies deal to hold asylum seekers in Mexico,"U.S., Mexico reach deal that would make asylum seekers wait outside U.S. ","Mexico sends mixed signals on plan to host US asylum-seekers, as Trump doubles down"
2018-11-26 19:11:12.312472,"High-profile, California Dem could lose key position on Senate Judiciary Committee",U.S. fires tear gas on migrants trying to rush across border ,Caravan crisis escalates with tear gas and entry closure at the border,U.S.-Mexico border reopened after migrants attempt to breach fence: Border Patrol
2018-11-27 14:44:15.544617,"Trump barnstorms in Mississippi before pivotal Senate special election, touts border security","Mueller's team says Paul Manafort lied to investigators, breaking plea deal ","Mueller says Manafort lied after pleading guilty, should be sentenced immediately",Special counsel says former Trump campaign chairman broke cooperation deal
2018-11-28 16:38:23.420875,President congratulates Hyde-Smith for holding off Dem in Miss. special election Senate runoff,Republican Hyde-Smith projected to beat Democrat Espy in Mississippi Senate race ,Trump says he’s ‘not even a little bit happy’ with Fed chairman,Mississippi voters send Hyde-Smith back to Senate after runoff marred by controversy
2018-11-29 22:22:09.903839,"Migrants stranded at border battle tuberculosis, lice, HIV as Tijuana officials decry soaring expenses",Trump and China's Xi get ready to tango in Buenos Aires,Senators back effort to end U.S. support for Saudi-led campaign in Yemen,Michael Cohen expected to plead guilty to lying to Congress: Sources
2018-11-30 18:41:33.678321,Paul Ryan questions California's 'bizarre' vote-counting process after GOP rout in midterms,Mueller casts 'dark cloud' over Trump's trip to Argentina,Trump emerges as a central subject of Mueller probe,5 key takeaways from Michael Cohen’s new plea deal with Mueller
